Date,Restaurant_ID,Restaurant_Name,Product_ID,Product,Category,Opening_Stock,Units_Received,Customer_Demand,Units_Sold,Lost_Sales,Waste_Units,Closing_Stock,Supplier_Lead_Time_Days,Unit_Cost_EUR,Selling_Price_EUR,Revenue_EUR,Temperature_C,Day_of_Week,Is_Weekend,Promotion,Safety_Stock,Recommended_Order,Autonomous_Decision,Waste_Cost_EUR,ESG_Waste_Rate_Pct,Service_Level_Pct
2026-01-04,REST001,GreenBite Kitchen,P002,Tomatoes,Vegetables,159,0,83,83,0,8,68,2,1.1,3.2,265.6,-1.5,Sunday,1,0,16,47,Auto-Order,8.8,8.79,100.0
2026-01-04,REST001,GreenBite Kitchen,P003,Rice,Dry Goods,190,241,85,85,0,3,343,4,0.8,2.8,238.0,-1.5,Sunday,1,0,18,0,No Action,2.4,3.41,100.0
2026-01-04,REST001,GreenBite Kitchen,P004,Milk,Dairy,110,0,48,48,0,4,58,2,1.0,2.4,115.2,-1.5,Sunday,1,0,10,19,Auto-Order,4.0,7.69,100.0
2026-01-04,REST001,GreenBite Kitchen,P005,Cheese,Dairy,77,89,37,37,0,5,124,3,2.8,6.5,240.5,-1.5,Sunday,1,0,8,0,No Action,14.0,11.9,100.0
2026-01-04,REST001,GreenBite Kitchen,P006,Potatoes,Vegetables,151,0,80,80,0,5,66,2,0.7,2.5,200.0,-1.5,Sunday,1,0,14,41,Auto-Order,3.5,5.88,100.0
2026-01-04,REST001,GreenBite Kitchen,P007,Bread,Bakery,24,120,57,57,0,8,79,1,1.2,3.0,171.0,-1.5,Sunday,1,0,12,0,No Action,9.6,12.31,100.0
2026-01-04,REST001,GreenBite Kitchen,P008,Salmon Fillet,Seafood,32,59,26,26,0,6,59,2,6.5,14.5,377.0,-1.5,Sunday,1,0,6,0,No Action,39.0,18.75,100.0
2026-01-04,REST001,GreenBite Kitchen,P009,Avocado,Vegetables,50,71,37,37,0,6,78,2,1.5,4.2,155.4,-1.5,Sunday,1,0,7,0,No Action,9.0,13.95,100.0
2026-01-04,REST001,GreenBite Kitchen,P010,Pasta,Dry Goods,144,182,71,71,0,2,253,4,0.9,3.0,213.0,-1.5,Sunday,1,0,14,0,No Action,1.8,2.74,100.0
2026-01-05,REST001,GreenBite Kitchen,P001,Chicken Breast,Meat,114,121,53,53,0,8,174,3,4.2,9.5,503.5,-0.6,Monday,0,0,12,0,No Action,33.6,13.11,100.0
2026-01-05,REST001,GreenBite Kitchen,P002,Tomatoes,Vegetables,68,184,58,58,0,12,182,2,1.1,3.2,185.6,-0.6,Monday,0,0,16,0,No Action,13.2,17.14,100.0
2026-01-05,REST001,GreenBite Kitchen,P003,Rice,Dry Goods,343,0,84,84,0,4,255,4,0.8,2.8,235.2,-0.6,Monday,0,0,18,0,No Action,3.2,4.55,100.0
2026-01-05,REST001,GreenBite Kitchen,P004,Milk,Dairy,58,116,42,42,0,6,126,2,1.0,2.4,100.8,-0.6,Monday,0,0,10,0,No Action,6.0,12.5,100.0
2026-01-05,REST001,GreenBite Kitchen,P005,Cheese,Dairy,124,0,36,36,0,3,85,3,2.8,6.5,234.0,-0.6,Monday,0,0,8,0,No Action,8.4,7.69,100.0
2026-01-05,REST001,GreenBite Kitchen,P006,Potatoes,Vegetables,66,169,70,70,0,10,155,2,0.7,2.5,175.0,-0.6,Monday,0,0,14,0,No Action,7.0,12.5,100.0
2026-01-05,REST001,GreenBite Kitchen,P007,Bread,Bakery,79,0,46,46,0,4,29,1,1.2,3.0,138.0,-0.6,Monday,0,0,12,43,Auto-Order,4.8,8.0,100.0
2026-01-05,REST001,GreenBite Kitchen,P008,Salmon Fillet,Seafood,59,0,19,19,0,2,38,2,6.5,14.5,275.5,-0.6,Monday,0,0,6,6,Auto-Order,13.0,9.52,100.0
2026-01-05,REST001,GreenBite Kitchen,P009,Avocado,Vegetables,78,0,26,26,0,5,47,2,1.5,4.2,109.2,-0.6,Monday,0,0,7,6,Auto-Order,7.5,16.13,100.0
2026-01-05,REST001,GreenBite Kitchen,P010,Pasta,Dry Goods,253,0,60,60,0,3,190,4,0.9,3.0,180.0,-0.6,Monday,0,0,14,0,No Action,2.7,4.76,100.0
2026-01-06,REST001,GreenBite Kitchen,P001,Chicken Breast,Meat,174,0,44,44,0,6,124,3,4.2,9.5,418.0,1.6,Tuesday,0,0,12,0,No Action,25.2,12.0,100.0
2026-01-06,REST001,GreenBite Kitchen,P002,Tomatoes,Vegetables,182,0,61,61,0,10,111,2,1.1,3.2,195.2,1.6,Tuesday,0,0,16,4,Auto-Order,11.0,14.08,100.0
2026-01-06,REST001,GreenBite Kitchen,P003,Rice,Dry Goods,255,0,83,83,0,3,169,4,0.8,2.8,232.4,1.6,Tuesday,0,1,18,0,No Action,2.4,3.49,100.0
2026-01-06,REST001,GreenBite Kitchen,P004,Milk,Dairy,126,0,44,44,0,4,78,2,1.0,2.4,105.6,1.6,Tuesday,0,0,10,0,No Action,4.0,8.33,100.0
2026-01-06,REST001,GreenBite Kitchen,P005,Cheese,Dairy,85,81,32,32,0,4,130,3,2.8,6.5,208.0,1.6,Tuesday,0,0,8,0,No Action,11.2,11.11,100.0
2026-01-06,REST001,GreenBite Kitchen,P006,Potatoes,Vegetables,155,0,61,61,0,5,89,2,0.7,2.5,152.5,1.6,Tuesday,0,0,14,18,Auto-Order,3.5,7.58,100.0
2026-01-06,REST001,GreenBite Kitchen,P007,Bread,Bakery,29,115,50,50,0,9,85,1,1.2,3.0,150.0,1.6,Tuesday,0,0,12,0,No Action,10.8,15.25,100.0
2026-01-06,REST001,GreenBite Kitchen,P008,Salmon Fillet,Seafood,38,60,27,27,0,4,67,2,6.5,14.5,391.5,1.6,Tuesday,0,0,6,0,No Action,26.0,12.9,100.0
2026-01-06,REST001,GreenBite Kitchen,P009,Avocado,Vegetables,47,65,28,28,0,5,79,2,1.5,4.2,117.6,1.6,Tuesday,0,0,7,0,No Action,7.5,15.15,100.0
2026-01-06,REST001,GreenBite Kitchen,P010,Pasta,Dry Goods,190,0,55,55,0,2,133,4,0.9,3.0,165.0,1.6,Tuesday,0,0,14,0,No Action,1.8,3.51,100.0
2026-01-07,REST001,GreenBite Kitchen,P001,Chicken Breast,Meat,124,122,49,49,0,9,188,3,4.2,9.5,465.5,-4.7,Wednesday,0,0,12,0,No Action,37.8,15.52,100.0
2026-01-07,REST001,GreenBite Kitchen,P002,Tomatoes,Vegetables,111,137,49,49,0,13,186,2,1.1,3.2,156.8,-4.7,Wednesday,0,0,16,0,No Action,14.3,20.97,100.0
2026-01-07,REST001,GreenBite Kitchen,P003,Rice,Dry Goods,169,261,68,68,0,3,359,4,0.8,2.8,190.4,-4.7,Wednesday,0,0,18,0,No Action,2.4,4.23,100.0
2026-01-07,REST001,GreenBite Kitchen,P004,Milk,Dairy,78,93,41,41,0,6,124,2,1.0,2.4,98.4,-4.7,Wednesday,0,0,10,0,No Action,6.0,12.77,100.0
2026-01-07,REST001,GreenBite Kitchen,P005,Cheese,Dairy,130,0,35,35,0,4,91,3,2.8,6.5,227.5,-4.7,Wednesday,0,0,8,0,No Action,11.2,10.26,100.0
2026-01-07,REST001,GreenBite Kitchen,P006,Potatoes,Vegetables,89,139,65,65,0,9,154,2,0.7,2.5,162.5,-4.7,Wednesday,0,0,14,0,No Action,6.3,12.16,100.0
2026-01-07,REST001,GreenBite Kitchen,P007,Bread,Bakery,85,0,48,48,0,5,32,1,1.2,3.0,144.0,-4.7,Wednesday,0,0,12,40,Auto-Order,6.0,9.43,100.0
2026-01-07,REST001,GreenBite Kitchen,P008,Salmon Fillet,Seafood,67,0,24,24,0,3,40,2,6.5,14.5,348.0,-4.7,Wednesday,0,0,6,4,Auto-Order,19.5,11.11,100.0
2026-01-07,REST001,GreenBite Kitchen,P009,Avocado,Vegetables,79,0,31,31,0,3,45,2,1.5,4.2,130.2,-4.7,Wednesday,0,0,7,8,Auto-Order,4.5,8.82,100.0
2026-01-07,REST001,GreenBite Kitchen,P010,Pasta,Dry Goods,133,196,63,63,0,3,263,4,0.9,3.0,189.0,-4.7,Wednesday,0,0,14,0,No Action,2.7,4.55,100.0
2026-01-08,REST001,GreenBite Kitchen,P001,Chicken Breast,Meat,188,0,46,46,0,7,135,3,4.2,9.5,437.0,0.3,Thursday,0,0,12,0,No Action,29.4,13.21,100.0
2026-01-08,REST001,GreenBite Kitchen,P002,Tomatoes,Vegetables,186,0,61,61,0,9,116,2,1.1,3.2,195.2,0.3,Thursday,0,0,16,0,No Action,9.9,12.86,100.0
2026-01-08,REST001,GreenBite Kitchen,P003,Rice,Dry Goods,359,0,63,63,0,2,294,4,0.8,2.8,176.4,0.3,Thursday,0,0,18,0,No Action,1.6,3.08,100.0
2026-01-08,REST001,GreenBite Kitchen,P004,Milk,Dairy,124,0,43,43,0,4,77,2,1.0,2.4,103.2,0.3,Thursday,0,0,10,0,No Action,4.0,8.51,100.0
2026-01-08,REST001,GreenBite Kitchen,P005,Cheese,Dairy,91,0,37,37,0,4,50,3,2.8,6.5,240.5,0.3,Thursday,0,0,8,19,Auto-Order,11.2,9.76,100.0
2026-01-08,REST001,GreenBite Kitchen,P006,Potatoes,Vegetables,154,0,61,61,0,3,90,2,0.7,2.5,152.5,0.3,Thursday,0,0,14,17,Auto-Order,2.1,4.69,100.0
2026-01-08,REST001,GreenBite Kitchen,P007,Bread,Bakery,32,109,49,49,0,7,85,1,1.2,3.0,147.0,0.3,Thursday,0,0,12,0,No Action,8.4,12.5,100.0
2026-01-08,REST001,GreenBite Kitchen,P008,Salmon Fillet,Seafood,40,54,27,27,0,4,63,2,6.5,14.5,391.5,0.3,Thursday,0,1,6,0,No Action,26.0,12.9,100.0
2026-01-08,REST001,GreenBite Kitchen,P009,Avocado,Vegetables,45,77,31,31,0,5,86,2,1.5,4.2,130.2,0.3,Thursday,0,0,7,0,No Action,7.5,13.89,100.0
2026-01-08,REST001,GreenBite Kitchen,P010,Pasta,Dry Goods,263,0,56,56,0,2,205,4,0.9,3.0,168.0,0.3,Thursday,0,0,14,0,No Action,1.8,3.45,100.0
2026-01-09,REST001,GreenBite Kitchen,P001,Chicken Breast,Meat,135,13,42,42,0,6,100,3,4.2,9.5,399.0,3.2,Friday,0,0,12,18,Auto-Order,25.2,12.5,100.0
2026-01-09,REST001,GreenBite Kitchen,P002,Tomatoes,Vegetables,116,132,59,59,0,13,176,2,1.1,3.2,188.8,3.2,Friday,0,0,16,0,No Action,14.3,18.06,100.0
2026-01-09,REST001,GreenBite Kitchen,P003,Rice,Dry Goods,294,0,71,71,0,2,221,4,0.8,2.8,198.8,3.2,Friday,0,0,18,0,No Action,1.6,2.74,100.0
2026-01-09,REST001,GreenBite Kitchen,P004,Milk,Dairy,77,89,44,44,0,7,115,2,1.0,2.4,105.6,3.2,Friday,0,0,10,0,No Action,7.0,13.73,100.0
2026-01-09,REST001,GreenBite Kitchen,P005,Cheese,Dairy,50,111,34,34,0,7,120,3,2.8,6.5,221.0,3.2,Friday,0,0,8,0,No Action,19.6,17.07,100.0
2026-01-09,REST001,GreenBite Kitchen,P006,Potatoes,Vegetables,90,139,58,58,0,9,162,2,0.7,2.5,145.0,3.2,Friday,0,0,14,0,No Action,6.3,13.43,100.0
2026-01-09,REST001,GreenBite Kitchen,P007,Bread,Bakery,85,0,48,48,0,4,33,1,1.2,3.0,144.0,3.2,Friday,0,0,12,48,Auto-Order,4.8,7.69,100.0
2026-01-09,REST001,GreenBite Kitchen,P008,Salmon Fillet,Seafood,63,0,24,24,0,0,39,2,6.5,14.5,348.0,3.2,Friday,0,0,6,12,Auto-Order,0.0,0.0,100.0
2026-01-09,REST001,GreenBite Kitchen,P009,Avocado,Vegetables,86,0,31,31,0,4,51,2,1.5,4.2,130.2,3.2,Friday,0,0,7,10,Auto-Order,6.0,11.43,100.0
2026-01-09,REST001,GreenBite Kitchen,P010,Pasta,Dry Goods,205,0,57,57,0,2,146,4,0.9,3.0,171.0,3.2,Friday,0,0,14,0,No Action,1.8,3.39,100.0
2026-01-10,REST001,GreenBite Kitchen,P001,Chicken Breast,Meat,100,139,56,56,0,9,174,3,4.2,9.5,532.0,-0.9,Saturday,1,0,12,0,No Action,37.8,13.85,100.0
2026-01-10,REST001,GreenBite Kitchen,P002,Tomatoes,Vegetables,176,0,73,73,0,9,94,2,1.1,3.2,233.6,-0.9,Saturday,1,0,16,37,Auto-Order,9.9,10.98,100.0
2026-01-10,REST001,GreenBite Kitchen,P003,Rice,Dry Goods,221,215,78,78,0,5,353,4,0.8,2.8,218.4,-0.9,Saturday,1,0,18,0,No Action,4.0,6.02,100.0
2026-01-10,REST001,GreenBite Kitchen,P004,Milk,Dairy,115,0,51,51,0,4,60,2,1.0,2.4,122.4,-0.9,Saturday,1,0,10,28,Auto-Order,4.0,7.27,100.0
2026-01-10,REST001,GreenBite Kitchen,P005,Cheese,Dairy,120,0,41,41,0,4,75,3,2.8,6.5,266.5,-0.9,Saturday,1,0,8,3,Auto-Order,11.2,8.89,100.0
2026-01-10,REST001,GreenBite Kitchen,P006,Potatoes,Vegetables,162,0,80,80,0,6,76,2,0.7,2.5,200.0,-0.9,Saturday,1,0,14,45,Auto-Order,4.2,6.98,100.0
2026-01-10,REST001,GreenBite Kitchen,P007,Bread,Bakery,33,107,62,62,0,8,70,1,1.2,3.0,186.0,-0.9,Saturday,1,1,12,11,Auto-Order,9.6,11.43,100.0
2026-01-10,REST001,GreenBite Kitchen,P008,Salmon Fillet,Seafood,39,54,30,30,0,2,61,2,6.5,14.5,435.0,-0.9,Saturday,1,0,6,0,No Action,13.0,6.25,100.0
2026-01-10,REST001,GreenBite Kitchen,P009,Avocado,Vegetables,51,66,33,33,0,4,80,2,1.5,4.2,138.6,-0.9,Saturday,1,0,7,0,No Action,6.0,10.81,100.0
2026-01-10,REST001,GreenBite Kitchen,P010,Pasta,Dry Goods,146,180,68,68,0,2,256,4,0.9,3.0,204.0,-0.9,Saturday,1,0,14,0,No Action,1.8,2.86,100.0
2026-01-11,REST001,GreenBite Kitchen,P001,Chicken Breast,Meat,174,0,67,67,0,7,100,3,4.2,9.5,636.5,2.2,Sunday,1,1,12,3,Auto-Order,29.4,9.46,100.0
2026-01-11,REST001,GreenBite Kitchen,P002,Tomatoes,Vegetables,94,151,82,82,0,12,151,2,1.1,3.2,262.4,2.2,Sunday,1,0,16,0,No Action,13.2,12.77,100.0
2026-01-11,REST001,GreenBite Kitchen,P003,Rice,Dry Goods,353,0,97,97,0,3,253,4,0.8,2.8,271.6,2.2,Sunday,1,0,18,0,No Action,2.4,3.0,100.0
2026-01-11,REST001,GreenBite Kitchen,P004,Milk,Dairy,60,104,47,47,0,6,111,2,1.0,2.4,112.8,2.2,Sunday,1,0,10,0,No Action,6.0,11.32,100.0
2026-01-11,REST001,GreenBite Kitchen,P005,Cheese,Dairy,75,90,34,34,0,4,127,3,2.8,6.5,221.0,2.2,Sunday,1,0,8,0,No Action,11.2,10.53,100.0
2026-01-11,REST001,GreenBite Kitchen,P006,Potatoes,Vegetables,76,152,61,61,0,8,159,2,0.7,2.5,152.5,2.2,Sunday,1,0,14,0,No Action,5.6,11.59,100.0
2026-01-11,REST001,GreenBite Kitchen,P007,Bread,Bakery,70,0,52,52,0,4,14,1,1.2,3.0,156.0,2.2,Sunday,1,0,12,58,Manager Review,4.8,7.14,100.0
2026-01-11,REST001,GreenBite Kitchen,P008,Salmon Fillet,Seafood,61,0,24,24,0,1,36,2,6.5,14.5,348.0,2.2,Sunday,1,0,6,8,Auto-Order,6.5,4.0,100.0
2026-01-11,REST001,GreenBite Kitchen,P009,Avocado,Vegetables,80,0,35,35,0,3,42,2,1.5,4.2,147.0,2.2,Sunday,1,0,7,11,Auto-Order,4.5,7.89,100.0
2026-01-11,REST001,GreenBite Kitchen,P010,Pasta,Dry Goods,256,0,65,65,0,4,187,4,0.9,3.0,195.0,2.2,Sunday,1,0,14,0,No Action,3.6,5.8,100.0
2026-01-12,REST001,GreenBite Kitchen,P001,Chicken Breast,Meat,100,135,50,50,0,9,176,3,4.2,9.5,475.0,-1.3,Monday,0,0,12,0,No Action,37.8,15.25,100.0
2026-01-12,REST001,GreenBite Kitchen,P002,Tomatoes,Vegetables,151,0,65,65,0,8,78,2,1.1,3.2,208.0,-1.3,Monday,0,0,16,37,Auto-Order,8.8,10.96,100.0
2026-01-12,REST001,GreenBite Kitchen,P003,Rice,Dry Goods,253,0,87,87,0,1,165,4,0.8,2.8,243.6,-1.3,Monday,0,1,18,0,No Action,0.8,1.14,100.0
2026-01-12,REST001,GreenBite Kitchen,P004,Milk,Dairy,111,0,42,42,0,4,65,2,1.0,2.4,100.8,-1.3,Monday,0,0,10,12,Auto-Order,4.0,8.7,100.0
2026-01-12,REST001,GreenBite Kitchen,P005,Cheese,Dairy,127,0,39,39,0,3,85,3,2.8,6.5,253.5,-1.3,Monday,0,0,8,0,No Action,8.4,7.14,100.0
2026-01-12,REST001,GreenBite Kitchen,P006,Potatoes,Vegetables,159,0,62,62,0,6,91,2,0.7,2.5,155.0,-1.3,Monday,0,0,14,16,Auto-Order,4.2,8.82,100.0
2026-01-12,REST001,GreenBite Kitchen,P007,Bread,Bakery,14,126,40,40,0,6,94,1,1.2,3.0,120.0,-1.3,Monday,0,0,12,0,No Action,7.2,13.04,100.0
2026-01-12,REST001,GreenBite Kitchen,P008,Salmon Fillet,Seafood,36,66,26,26,0,4,72,2,6.5,14.5,377.0,-1.3,Monday,0,0,6,0,No Action,26.0,13.33,100.0
2026-01-12,REST001,GreenBite Kitchen,P009,Avocado,Vegetables,42,73,31,31,0,4,80,2,1.5,4.2,130.2,-1.3,Monday,0,0,7,0,No Action,6.0,11.43,100.0
2026-01-12,REST001,GreenBite Kitchen,P010,Pasta,Dry Goods,187,0,58,58,0,2,127,4,0.9,3.0,174.0,-1.3,Monday,0,0,14,0,No Action,1.8,3.33,100.0
2026-01-13,REST001,GreenBite Kitchen,P001,Chicken Breast,Meat,176,0,53,53,0,7,116,3,4.2,9.5,503.5,0.9,Tuesday,0,0,12,0,No Action,29.4,11.67,100.0
2026-01-13,REST001,GreenBite Kitchen,P002,Tomatoes,Vegetables,78,174,64,64,0,13,175,2,1.1,3.2,204.8,0.9,Tuesday,0,0,16,0,No Action,14.3,16.88,100.0
2026-01-13,REST001,GreenBite Kitchen,P003,Rice,Dry Goods,165,265,69,69,0,4,357,4,0.8,2.8,193.2,0.9,Tuesday,0,0,18,0,No Action,3.2,5.48,100.0
2026-01-13,REST001,GreenBite Kitchen,P004,Milk,Dairy,65,103,42,42,0,7,119,2,1.0,2.4,100.8,0.9,Tuesday,0,0,10,0,No Action,7.0,14.29,100.0
2026-01-13,REST001,GreenBite Kitchen,P005,Cheese,Dairy,85,80,32,32,0,5,128,3,2.8,6.5,208.0,0.9,Tuesday,0,0,8,0,No Action,14.0,13.51,100.0
2026-01-13,REST001,GreenBite Kitchen,P006,Potatoes,Vegetables,91,141,63,63,0,9,160,2,0.7,2.5,157.5,0.9,Tuesday,0,0,14,0,No Action,6.3,12.5,100.0
2026-01-13,REST001,GreenBite Kitchen,P007,Bread,Bakery,94,0,41,41,0,4,49,1,1.2,3.0,123.0,0.9,Tuesday,0,0,12,23,Auto-Order,4.8,8.89,100.0
2026-01-13,REST001,GreenBite Kitchen,P008,Salmon Fillet,Seafood,72,0,24,24,0,3,45,2,6.5,14.5,348.0,0.9,Tuesday,0,0,6,0,No Action,19.5,11.11,100.0
2026-01-13,REST001,GreenBite Kitchen,P009,Avocado,Vegetables,80,0,29,29,0,4,47,2,1.5,4.2,121.8,0.9,Tuesday,0,0,7,6,Auto-Order,6.0,12.12,100.0
2026-01-13,REST001,GreenBite Kitchen,P010,Pasta,Dry Goods,127,202,54,54,0,2,273,4,0.9,3.0,162.0,0.9,Tuesday,0,0,14,0,No Action,1.8,3.57,100.0
2026-01-14,REST001,GreenBite Kitchen,P001,Chicken Breast,Meat,116,119,52,52,0,9,174,3,4.2,9.5,494.0,-1.7,Wednesday,0,0,12,0,No Action,37.8,14.75,100.0
2026-01-14,REST001,GreenBite Kitchen,P002,Tomatoes,Vegetables,175,0,63,63,0,10,102,2,1.1,3.2,201.6,-1.7,Wednesday,0,0,16,13,Auto-Order,11.0,13.7,100.0
2026-01-14,REST001,GreenBite Kitchen,P003,Rice,Dry Goods,357,0,70,70,0,2,285,4,0.8,2.8,196.0,-1.7,Wednesday,0,0,18,0,No Action,1.6,2.78,100.0
2026-01-14,REST001,GreenBite Kitchen,P004,Milk,Dairy,119,0,43,43,0,5,71,2,1.0,2.4,103.2,-1.7,Wednesday,0,0,10,6,Auto-Order,5.0,10.42,100.0
2026-01-14,REST001,GreenBite Kitchen,P005,Cheese,Dairy,128,0,31,31,0,4,93,3,2.8,6.5,201.5,-1.7,Wednesday,0,0,8,0,No Action,11.2,11.43,100.0
2026-01-14,REST001,GreenBite Kitchen,P006,Potatoes,Vegetables,160,0,61,61,0,6,93,2,0.7,2.5,152.5,-1.7,Wednesday,0,0,14,14,Auto-Order,4.2,8.96,100.0
2026-01-14,REST001,GreenBite Kitchen,P007,Bread,Bakery,49,85,45,45,0,6,83,1,1.2,3.0,135.0,-1.7,Wednesday,0,0,12,0,No Action,7.2,11.76,100.0
